"";"title";"Awards"
"397";"Aladdin";"2"
"398";"The Crying Game";"1"
"399";"Scent of a Woman";"1"
"400";"A River Runs Through It";"1"
"401";"Indochine";"1"
"402";"My Cousin Vinny";"1"
"403";"The Panama Deception";"1"
"404";"Educating Peter";"1"
"405";"The Last of the Mohicans";"1"
"406";"Death Becomes Her";"1"
"407";"Omnibus";"1"
"408";"Mona Lisa Descending a Staircase";"1"
"409";"The Silence of the Lambs";"5"
"410";"Terminator 2: Judgment Day";"4"
"411";"Bugsy";"2"
"412";"JFK";"2"
"413";"Beauty and the Beast";"2"
"414";"Thelma & Louise";"1"
"415";"The Fisher King";"1"
"416";"In the Shadow of the Stars";"1"
"417";"Manipulation";"1"
"418";"Mediterraneo";"1"
"419";"Session Man";"1"
"420";"City Slickers";"1"
"421";"Deadly Deception: General Electric, Nuclear Weapons and Our Environment";"1"
"422";"Dances with Wolves";"7"
"423";"Dick Tracy";"3"
"424";"Ghost";"2"
"425";"Goodfellas";"1"
"426";"The Hunt for Red October";"1"
"427";"Reversal of Fortune";"1"
"428";"Cyrano de Bergerac";"1"
"429";"American Dream";"1"
"430";"Journey of Hope (Reise der Hoffnung)";"1"
"431";"Days of Waiting";"1"
"432";"Creature Comforts";"1"
"433";"The Lunch Date";"1"
"434";"Misery";"1"
"435";"Total Recall";"0 (1)"
"436";"Driving Miss Daisy";"4"
"437";"Glory";"3"
"438";"Born on the Fourth of July";"2"
"439";"My Left Foot";"2"
"440";"The Little Mermaid";"2"
"441";"Dead Poets Society";"1"
"442";"The Abyss";"1"
"443";"Indiana Jones and the Last Crusade";"1"
"444";"Henry V";"1"
"445";"The Johnstown Flood";"1"
"446";"Common Threads: Stories from the Quilt";"1"
"447";"Cinema Paradiso";"1"
"448";"Work Experience";"1"
"449";"Batman";"1"
"450";"Balance";"1"
"451";"Rain Man";"4"
"452";"Dangerous Liaisons";"3"
"453";"Who Framed Roger Rabbit";"3 (1)"
"454";"Mississippi Burning";"1"
"455";"Working Girl";"1"
"456";"The Accidental Tourist";"1"
"457";"A Fish Called Wanda";"1"
"458";"Pelle the Conqueror (Pelle erobreren)";"1"
"459";"The Accused";"1"
"460";"The Appointments of Dennis Jennings";"1"
"461";"Beetlejuice";"1"
"462";"Bird";"1"
"463";"Hôtel Terminus: The Life and Times of Klaus Barbie";"1"
"464";"The Milagro Beanfield War";"1"
"465";"Tin Toy";"1"
"466";"You Don't Have to Die";"1"
"467";"The Last Emperor";"9"
"468";"Moonstruck";"3"
"469";"The Untouchables";"1"
"470";"Babette's Feast (Babettes gæstebud)";"1"
"471";"Dirty Dancing";"1"
"472";"Harry and the Hendersons";"1"
"473";"Innerspace";"1"
"474";"The Man Who Planted Trees (L' Homme qui plantait des arbres)";"1"
"475";"Ray's Male Heterosexual Dance Hall";"1"
"476";"The Ten-Year Lunch";"1"
"477";"Wall Street";"1"
"478";"Young at Heart";"1"
"479";"RoboCop";"0 (1)"
"480";"Platoon";"4"
"481";"A Room with a View";"3"
"482";"Hannah and Her Sisters";"3"
"483";"Aliens";"2"
"484";"The Mission";"1"
"485";"Children of a Lesser God";"1"
"486";"The Color of Money";"1"
"487";"Top Gun";"1"
"488";"Round Midnight";"1"
"489";"Artie Shaw: Time Is All You've Got";"1"
"490";"The Assault (De Aanslag)";"1"
"491";"Down and Out in America";"1"
"492";"The Fly";"1"
"493";"A Greek Tragedy";"1"
"494";"Precious Images";"1"
"495";"Women – for America, for the World";"1"
"496";"Out of Africa";"7"
"497";"Witness";"2"
"498";"Cocoon";"2"
"499";"Prizzi's Honor";"1"
"500";"Back to the Future";"1"
"501";"Kiss of the Spider Woman";"1"
"502";"Ran";"1"
"503";"The Official Story (La Historia Oficial)";"1"
"504";"The Trip to Bountiful";"1"
"505";"White Nights";"1"
"506";"Anna & Bella";"1"
"507";"Broken Rainbow";"1"
"508";"Mask";"1"
"509";"Molly's Pilgrim";"1"
"510";"Witness to War: Dr. Charlie Clements";"1"
"511";"Amadeus";"8"
"512";"The Killing Fields";"3"
"513";"A Passage to India";"2"
"514";"Places in the Heart";"2"
"515";"Indiana Jones and the Temple of Doom";"1"
"516";"Charade";"1"
"517";"Dangerous Moves (La Diagonale du fou)";"1"
"518";"Purple Rain";"1"
"519";"The Stone Carvers";"1"
"520";"The Times of Harvey Milk";"1"
"521";"Up";"1"
"522";"The Woman in Red";"1"
"523";"The River";"0 (1)"
"524";"Terms of Endearment";"5"
"525";"The Right Stuff";"4"
"526";"Fanny & Alexander (Fanny och Alexander)";"4"
"527";"Tender Mercies";"2"
"528";"Yentl";"1"
"529";"Flashdance";"1"
"530";"Boys and Girls";"1"
"531";"Flamenco at 5:15";"1"
"532";"He Makes Me Feel Like Dancin'";"1"
"533";"Sundae in New York";"1"
"534";"The Year of Living Dangerously";"1"
"535";"Return of the Jedi";"0 (1)"
"536";"Gandhi";"8"
"537";"E.T.: The Extra-Terrestrial";"4"
"538";"An Officer and a Gentleman";"2"
"539";"Tootsie";"1"
"540";"Victor/Victoria";"1"
"541";"Sophie's Choice";"1"
"542";"Missing";"1"
"543";"If You Love This Planet";"1"
"544";"Just Another Missing Kid";"1"
"545";"A Shocking Accident";"1"
"546";"Tango";"1"
"547";"To Begin Again (Volver a empezar)";"1"
"548";"Quest for Fire";"1"
"549";"Chariots of Fire";"4"
